time,bus_id,route_id,unknow,x_coordinate,y_coordinate ,distance,
30-10:23:30:21,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:30:48,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:31:14,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:31:40,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:32:08,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:32:34,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:32:59,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:33:25,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:33:50,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:34:17,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:34:42,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:35:08,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:35:34,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:36:00,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:36:26,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:37:18,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:37:44,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:38:11,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:38:36,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:39:02,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:39:27,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:39:54,903,4,401511,52885.875,145471.4063,2143.52206,
30-10:23:39:06,912,13,1301010,44044.625,154803.0469,1897.451529,
30-10:23:39:39,912,13,1301010,44044.625,154803.0469,1897.451529,
30-10:23:38:34,912,13,1301010,43963.25,154941.0781,1940.707547,
30-10:23:38:04,912,13,1301010,43820.625,155181.75,2016.927231,
30-10:23:37:32,912,13,1301010,43708.625,155371.0938,2077.333747,
30-10:23:36:59,912,13,1301010,43637.25,155491.7969,2116.044969,
30-10:23:36:27,912,13,1301010,43253.125,155995.125,2300.281611,
30-10:23:35:55,912,13,1301010,43060.625,156170,2379.104441,
30-10:23:35:21,912,13,1301010,42587.25,156600.6719,2573.17014,
30-10:23:34:51,912,13,1301010,42424.625,156748.7031,2639.888118,
30-10:23:34:19,912,13,1301010,42261.75,156896.7344,2706.68231,
30-10:23:33:47,912,13,1301010,41951.125,157179.3906,2834.168802,
30-10:23:33:16,912,13,1301010,41640.625,157462.0313,2961.667306,
30-10:23:32:44,912,13,1301010,41122.75,157933.0156,3174.325358,
30-10:23:32:11,912,13,1301010,40625.625,158266.4375,3356.368019,
30-10:23:31:40,912,13,1301010,40204.125,157897.5,3393.774223,
30-10:23:31:08,912,13,1301010,39833.875,158233.5469,3544.933748,
30-10:23:30:35,912,13,1301010,39445.625,158485.6563,3685.944633,
30-10:23:30:01,912,13,1301010,39345.5,158488.375,3711.462618,
30-10:23:39:39,914,4,400513,51649.125,153710.6875,960.2278392,
30-10:23:37:32,914,4,400513,52527.75,151345.4688,969.4365597,
30-10:23:36:59,914,4,400513,52526.5,151265.5938,970.9473148,
30-10:23:38:04,914,4,400513,52496,152213.6563,978.6583466,
30-10:23:36:27,914,4,400513,52506.125,150085.75,1059.732385,
30-10:23:38:35,914,4,400513,52447.75,153295.9375,1082.382773,
30-10:23:39:07,914,4,400513,52189,153699.2813,1083.876623,
30-10:23:35:56,914,4,400513,52685.125,149825.8594,1143.661718,
30-10:23:35:22,914,4,400513,53292.5,149753.3594,1319.819009,
30-10:23:34:51,914,4,400513,53274.875,149434.8281,1358.29811,
30-10:23:34:20,914,4,400513,53262.25,148734.9531,1468.573656,
30-10:23:33:47,914,4,400513,53439.75,148529.4531,1549.208827,
30-10:23:33:16,914,4,400513,53533.125,147783.4219,1715.379499,
30-10:23:31:40,914,4,400513,52481,146151.8906,1902.189738,
30-10:23:31:08,914,4,400513,52256.125,146001.8438,1909.196129,
30-10:23:30:36,914,4,400513,52296,145731.8438,1987.945267,
30-10:23:32:44,914,4,400513,53450.375,146468.6875,1990.043834,
30-10:23:32:11,914,4,400513,53200.875,146134.5,2025.392784,
30-10:23:30:01,914,4,400513,52505.125,145481.5938,2084.894357,
30-10:23:30:21,915,14,1401515,56641.625,142338.875,3580.65496,
30-10:23:30:48,915,14,1401515,56641.625,142338.875,3580.65496,
30-10:23:31:15,915,14,1401515,56641.625,142338.875,3580.65496,
