di,wi,data_response
1758,801,0
1909,363,0
1791,727,0
1995,830,0
387,398,0
636,569,0
570,554,0
676,342,0
954,514,0
1796,210,0
556,859,0
718,255,0
869,296,0
1347,850,0
576,497,0
1411,543,0
208,892,0
533,376,0
1341,509,0
1796,975,0
1732,972,0
383,272,0
1596,734,0
1976,348,0
1455,843,0
914,333,0
1684,956,0
1176,249,0
1804,410,0
1973,830,0
762,307,0
283,653,0
225,782,0
1977,911,0
632,560,0
1302,441,0
1467,506,0
725,839,0
1447,348,0
360,827,0
1245,741,0
587,252,0
1703,287,0
702,281,0
1760,809,0
1759,700,0
1865,860,0
851,662,0
817,676,0
1693,550,0
1721,225,0
1269,429,0
1795,630,0
1253,449,0
1293,409,0
1330,231,0
1596,404,0
1255,788,0
1185,965,0
241,921,0
641,285,0
1871,950,0
1379,967,0
1652,323,0
1251,819,0
410,232,0
1314,949,0
309,883,0
1759,697,0
318,965,0
415,820,0
824,207,0
1812,944,0
1804,786,0
949,520,0
224,276,0
1291,442,0
1548,795,0
733,784,0
1300,648,0
1104,621,0
1779,802,0
1373,223,0
1273,350,0
1248,408,0
251,361,0
1971,494,0
1119,576,0
1957,297,0
1913,214,0
1843,954,0
1631,894,0
1304,228,0
1977,642,0
1875,216,0
1965,358,0
642,968,0
1650,915,0
1846,263,0
418,439,0
275,755,0
1113,710,0
698,691,0
1009,708,0
1035,295,0
987,357,0
363,813,0
1517,950,0
471,815,0
1073,957,0
373,444,0
1335,925,0
1165,648,0
939,764,0
220,383,0
1739,836,0
1182,811,0
1361,557,0
1605,487,0
771,514,0
802,303,0
1225,940,0
793,519,0
439,566,0
1470,598,0
1432,340,0
302,907,0
628,727,0
332,447,0
1045,365,0
1811,650,0
396,572,0
517,550,0
579,635,0
1200,763,0
1884,637,0
1226,664,0
1711,861,0
1148,971,0
329,540,0
237,875,0
1371,665,0
1905,684,0
311,325,0
254,389,0
1635,354,0
1381,651,0
1610,704,0
1201,802,0
1524,743,0
1991,938,0
1350,350,0
472,560,0
430,913,0
714,374,0
283,238,0
1008,683,0
1275,841,0
1876,478,0
1382,571,0
1076,388,0
663,694,0
474,674,0
1403,910,0
1853,473,0
1089,328,0
689,353,0
1444,578,0
977,955,0
1013,604,0
1154,471,0
925,492,0
462,213,0
1899,340,0
1017,748,0
1448,623,0
1040,765,0
425,257,0
1719,993,0
211,211,0
1628,784,0
521,991,0
1360,834,0
1933,253,0
1921,252,0
1583,238,0
610,296,0
343,549,0
301,460,0
230,513,0
402,851,0
408,322,0
408,917,0
932,324,0
709,505,0
1692,894,0
1917,444,0
1908,943,0
1604,424,0
846,434,0
1571,666,0
1382,702,0
206,455,0
1038,734,0
886,780,0
1139,984,0
614,255,0
1842,581,0
642,620,0
1612,896,0
1734,734,0
428,290,0
1965,611,0
1261,208,0
394,704,0
1844,224,0
278,855,0
602,787,0
640,675,0
325,523,0
427,825,0
1823,361,0
1094,543,0
745,971,0
1140,634,0
701,880,0
592,286,0
581,688,0
1755,377,0
692,838,0
461,665,0
1063,791,0
1359,940,0
642,605,0
531,424,0
236,863,0
1271,389,0
1309,815,0
794,731,0
1192,857,0
984,275,0
1285,202,0
1064,253,0
1796,879,0
782,552,0
362,421,0
1190,788,0
1125,553,0
1651,297,0
235,979,0
1563,542,0
1241,834,0
822,963,0
1679,416,0
1099,781,0
1633,769,0
611,304,0
324,736,0
1709,359,0
1660,996,0
1396,898,0
1887,211,0
1376,237,0
1884,463,0
1582,372,0
246,206,0
782,742,0
625,533,0
1949,513,0
1742,736,0
399,200,0
315,449,0
1545,574,0
609,408,0
1621,905,0
580,922,0
1109,500,0
1189,986,0
415,307,0
875,242,0
857,212,0
1556,537,0
1002,845,0
1746,834,0
1704,632,0
579,658,0
923,342,0
1801,384,0
727,651,0
228,960,0
683,595,0
489,537,0
758,328,0
624,325,0
1215,488,0
437,748,0
1030,631,0
587,991,0
1891,641,0
736,657,0
379,720,0
1311,526,0
1059,516,0
1810,632,0
718,656,0
1871,538,0
738,536,0
578,662,0
1812,795,0
476,350,0
1457,354,0
1111,352,0
696,626,0
1646,513,0
911,332,0
1547,830,0
1851,879,0
1656,263,0
1131,767,0
440,690,0
1090,435,0
1781,421,0
1550,880,0
1278,673,0
791,370,0
696,325,0
1609,752,0
819,220,0
1086,799,0
1441,676,0
498,669,0
438,970,0
696,595,0
1290,437,0
765,823,0
549,902,0
1741,862,0
1388,845,0
576,329,0
527,672,0
992,953,0
1025,781,0
848,702,0
1318,344,0
1141,975,0
372,885,0
692,832,0
250,868,0
1751,887,0
367,655,0
259,580,0
1955,737,0
994,851,0
681,953,0
984,660,0
1062,362,0
1957,749,0
1608,766,0
718,536,0
1410,817,0
1084,391,0
1404,777,0
836,673,0
1775,563,0
731,872,0
201,963,0
532,595,0
253,893,0
1313,532,0
1428,500,0
470,951,0
1398,763,0
814,744,0
1549,574,0
1866,788,0
1817,760,0
1171,277,0
723,578,0
242,904,0
709,640,0
1685,923,0
1670,481,0
847,350,0
1082,791,0
329,517,0
1871,271,0
1481,412,0
1267,691,0
1866,779,0
1536,458,0
1538,373,0
1527,852,0
1930,854,0
1096,316,0
1036,831,0
1776,883,0
257,411,0
1993,562,0
1265,742,0
385,843,0
925,632,0
1072,610,0
235,547,0
924,521,0
1423,635,0
1439,440,0
365,235,0
1194,246,0
1167,392,0
724,660,0
1420,486,0
1068,348,0
473,399,0
748,939,0
622,855,0
1481,209,0
1919,466,0
1717,744,0
238,300,0
1110,951,0
1410,855,0
1607,525,0
1292,491,0
1842,407,0
1152,743,0
1959,742,0
655,513,0
1621,576,0
1291,752,0
1661,818,0
521,728,0
876,430,0
1302,582,0
962,555,0
1648,799,0
1996,279,0
983,504,0
1821,672,0
1048,965,0
698,787,0
342,775,0
1680,966,0
267,765,0
318,930,0
445,907,0
1407,537,0
951,317,0
532,503,0
1956,760,0
1447,225,0
454,677,0
720,295,0
599,335,0
649,710,0
573,755,0
323,529,0
816,569,0
1600,523,0
1818,883,0
1553,756,0
1469,347,0
1664,841,0
1698,527,0
1128,374,0
1271,883,0
1604,841,0
539,796,0
1861,811,0
483,284,0
905,200,0
398,537,0
562,960,0
410,740,0
521,549,0
651,209,0
1963,375,0
1033,494,0
1016,797,0
1049,834,0
1789,386,0
1456,983,0
637,991,0
824,860,0
1662,682,0
1292,507,0
299,599,0
1305,499,0
1426,480,0
1302,800,0
702,592,0
1104,995,0
581,774,0
765,795,0
953,427,0
413,625,0
1130,834,0
1902,894,0
1577,871,0
258,975,0
997,880,0
